state_name,year,average_labor_force,average_employed,average_unemployed,average_unemployment_rate
Massachusetts,1986,218448.2142857143,210054.07142857142,8394.142857142857,3.9
Massachusetts,1987,220346,213274.14285714287,7071.857142857143,3.164285714285714
Massachusetts,1988,225322.2857142857,217950.35714285713,7371.928571428572,3.2928571428571427
Massachusetts,1989,227126.7857142857,218067.14285714287,9059.642857142857,3.95
Michigan,1976,48058.24096385542,43565.24096385542,4493,11.581927710843374
Michigan,1977,49553.951807228914,45498.20481927711,4055.746987951807,10.568674698795181
Michigan,1978,50529.0843373494,47050.12048192771,3478.9638554216867,9.275903614457832
Michigan,1979,51962.180722891564,47926.8313253012,4035.3493975903616,9.39879518072289
Michigan,1980,51714.67469879518,45280.903614457835,6433.77108433735,13.06144578313253
Michigan,1981,51872.180722891564,45500.12048192771,6372.060240963855,13.489156626506023
Michigan,1982,51549.843373493975,43582.24096385542,7967.6024096385545,16.574698795180723
Michigan,1983,51844.20481927711,44491.26506024096,7352.939759036145,16.049397590361444
Michigan,1984,52520.02409638554,46644.03614457831,5875.987951807229,13.724096385542168
Michigan,1985,52438.27710843374,47223.68674698795,5214.590361445783,13.203614457831325
Michigan,1986,52898.60240963855,48258.43373493976,4640.168674698795,11.639759036144579
Michigan,1987,54554.01204819277,50101.0843373494,4452.9277108433735,9.80843373493976
Michigan,1988,54732.65060240964,50576.361445783135,4156.289156626506,8.75421686746988
Michigan,1989,55327.96385542169,51403.85542168675,3924.10843373494,8.453012048192772
Minnesota,1976,21241.528735632182,19988.597701149425,1252.9310344827586,6.49080459770115
Minnesota,1977,21908.091954022988,20793.16091954023,1114.9310344827586,6.005747126436781
Minnesota,1978,22735.689655172413,21873.597701149425,862.0919540229885,4.563218390804598
Minnesota,1979,23425.367816091955,22448.32183908046,977.0459770114943,5.090804597701149
Minnesota,1980,24241.48275862069,22804.64367816092,1436.83908045977,7.508045977011494
Minnesota,1981,24747.22988505747,23379.367816091955,1367.8620689655172,6.879310344827586
Minnesota,1982,24885.183908045976,22942.6091954023,1942.5747126436781,8.983908045977012
Minnesota,1983,25000.091954022988,22954.080459770114,2046.0114942528735,9.535632183908046
Minnesota,1984,25620.77011494253,24000.045977011494,1620.7241379310344,8.158620689655173
Minnesota,1985,25678.172413793105,24149.41379310345,1528.7586206896551,7.885057471264368
Minnesota,1986,25632.333333333332,24264.42528735632,1367.9080459770114,7.255172413793104
Minnesota,1987,25988.57471264368,24586.2183908046,1402.3563218390805,7.105747126436782
Minnesota,1988,26747.183908045976,25666.701149425287,1080.4827586206898,5.320689655172414
Minnesota,1989,26931.137931034482,25758.712643678162,1172.4252873563219,5.570114942528735
Mississippi,1976,11902.548780487805,11122.024390243903,780.5243902439024,6.886585365853659
Mississippi,1977,12146.451219512195,11256.121951219513,890.329268292683,7.6536585365853655
Mississippi,1978,12268.341463414634,11402.487804878048,865.8536585365854,7.537804878048781
