GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "51000","Virginia",5,SARPP,2,"..."," RPPs: Goods ","Index",102.706,101.771,101.663,100.586,99.337,101.297,98.964,98.594,99.209,98.661,99.814,99.147,99.477,101.518,100.734
 "53000","Washington",8,SARPP,2,"..."," RPPs: Goods ","Index",104.481,104.749,103.099,103.739,100.361,100.932,102.263,103.623,102.670,105.814,104.882,106.272,108.765,111.767,113.403
 "54000","West Virginia",5,SARPP,2,"..."," RPPs: Goods ","Index",96.907,94.434,97.263,96.022,94.164,95.449,94.992,94.269,95.253,94.413,95.416,95.787,95.308,96.694,94.675
 "55000","Wisconsin",3,SARPP,2,"..."," RPPs: Goods ","Index",91.232,94.871,95.627,95.434,96.807,96.125,96.929,98.512,97.453,97.410,97.962,96.630,94.436,95.032,92.315
 "56000","Wyoming",7,SARPP,2,"..."," RPPs: Goods ","Index",99.314,98.974,98.634,98.886,98.788,97.772,97.843,101.098,101.810,102.118,96.060,98.594,97.150,96.354,96.690
 "00000","United States", ,SARPP,3,"..."," RPPs: Services: Housing ","Index",100.423,100.453,100.389,100.398,100.366,100.369,100.385,100.417,100.387,100.430,100.424,100.386,100.602,100.592,100.595
 "01000","Alabama",5,SARPP,3,"..."," RPPs: Services: Housing ","Index",59.878,60.149,61.501,60.852,62.322,61.411,59.913,59.246,60.512,61.120,59.642,60.288,59.610,60.606,57.525
 "02000","Alaska",8,SARPP,3,"..."," RPPs: Services: Housing ","Index",105.954,119.667,113.681,109.991,116.476,114.826,116.651,114.547,108.721,109.381,104.765,101.329,89.721,103.398,96.773
 "04000","Arizona",6,SARPP,3,"..."," RPPs: Services: Housing ","Index",103.314,99.868,96.899,94.773,95.179,93.619,92.739,93.771,92.449,93.528,94.257,93.592,97.973,102.364,106.287
 "05000","Arkansas",5,SARPP,3,"..."," RPPs: Services: Housing ","Index",58.670,57.419,59.830,61.010,60.323,59.939,60.243,59.372,59.310,57.640,56.162,56.816,56.859,59.444,55.793
 "06000","California",8,SARPP,3,"..."," RPPs: Services: Housing ","Index",161.357,160.405,158.034,157.142,156.199,155.713,157.934,158.041,160.081,162.521,163.842,164.675,166.235,165.034,160.150
 "08000","Colorado",7,SARPP,3,"..."," RPPs: Services: Housing ","Index",113.853,113.151,112.153,118.778,115.656,118.017,120.755,123.872,126.181,128.891,128.342,131.065,130.335,129.453,129.614
 "09000","Connecticut",1,SARPP,3,"..."," RPPs: Services: Housing ","Index",131.478,136.641,128.575,129.838,131.269,129.212,127.604,132.411,127.086,121.266,122.137,118.087,122.958,120.862,119.368
 "10000","Delaware",2,SARPP,3,"..."," RPPs: Services: Housing ","Index",93.734,104.505,99.376,98.179,98.122,98.898,103.867,95.174,94.404,94.653,99.303,96.027,91.843,96.965,98.865
 "11000","District of Columbia",2,SARPP,3,"..."," RPPs: Services: Housing ","Index",156.772,163.289,182.577,189.523,177.240,174.262,191.339,178.354,184.554,176.942,177.245,170.499,164.955,175.543,177.172
 "12000","Florida",5,SARPP,3,"..."," RPPs: Services: Housing ","Index",115.061,111.037,108.672,108.234,108.824,107.433,108.211,109.262,109.395,110.486,110.725,112.037,113.622,112.965,116.337
 "13000","Georgia",5,SARPP,3,"..."," RPPs: Services: Housing ","Index",82.747,83.201,81.466,80.915,80.476,79.382,79.430,80.454,81.228,81.732,81.808,81.857,83.098,85.397,87.689
 "15000","Hawaii",8,SARPP,3,"..."," RPPs: Services: Housing ","Index",146.802,145.890,143.056,142.950,137.593,153.499,146.483,153.724,139.348,149.676,143.008,142.664,136.284,140.347,132.093
 "16000","Idaho",7,SARPP,3,"..."," RPPs: Services: Housing ","Index",81.405,79.023,75.824,74.685,75.340,78.706,76.942,74.196,73.850,74.140,77.508,75.686,76.289,84.170,87.731
 "17000","Illinois",3,SARPP,3,"..."," RPPs: Services: Housing ","Index",103.045,103.929,104.957,104.199,102.296,103.050,102.822,103.287,101.387,99.946,99.174,97.693,97.650,96.176,94.106
 "18000","Indiana",3,SARPP,3,"..."," RPPs: Services: Housing ","Index",76.021,75.195,76.560,76.827,74.970,75.787,75.103,73.773,72.610,72.821,73.066,71.884,71.028,71.373,70.636
 "19000","Iowa",4,SARPP,3,"..."," RPPs: Services: Housing ","Index",66.587,70.226,70.041,71.285,71.078,71.741,72.076,70.032,70.953,72.783,71.329,69.472,67.239,66.240,67.062
 "20000","Kansas",4,SARPP,3,"..."," RPPs: Services: Housing ","Index",73.583,74.661,75.306,77.669,75.559,75.000,74.101,75.063,73.442,73.168,72.262,71.874,72.059,69.782,69.934
 "21000","Kentucky",5,SARPP,3,"..."," RPPs: Services: Housing ","Index",64.242,64.772,66.573,64.643,66.241,66.138,65.518,66.279,64.291,63.682,64.713,64.293,64.752,63.432,62.270
 "22000","Louisiana",5,SARPP,3,"..."," RPPs: Services: Housing ","Index",67.740,71.036,71.454,72.038,73.117,72.153,73.137,71.513,72.915,70.993,69.190,70.852,68.116,66.812,66.859
 "23000","Maine",1,SARPP,3,"..."," RPPs: Services: Housing ","Index",84.759,86.011,88.103,84.913,87.312,89.818,70.451,77.047,83.783,79.201,83.831,71.518,80.931,80.943,83.540
 "24000","Maryland",2,SARPP,3,"..."," RPPs: Services: Housing ","Index",132.404,134.588,133.427,135.454,133.635,137.392,136.300,131.504,128.755,127.739,128.337,128.327,128.166,124.197,122.957
 "25000","Massachusetts",1,SARPP,3,"..."," RPPs: Services: Housing ","Index",126.539,130.262,129.096,128.619,129.316,129.124,129.892,130.004,130.539,130.601,128.638,130.096,134.697,129.022,128.642
 "26000","Michigan",3,SARPP,3,"..."," RPPs: Services: Housing ","Index",87.754,85.048,86.793,83.855,83.249,82.705,83.340,80.739,82.393,80.999,80.702,81.979,80.645,80.696,80.852
 "27000","Minnesota",4,SARPP,3,"..."," RPPs: Services: Housing ","Index",97.608,95.863,92.954,92.594,94.809,94.856,93.046,97.248,95.287,95.366,95.447,97.477,90.678,93.084,97.337
 "28000","Mississippi",5,SARPP,3,"..."," RPPs: Services: Housing ","Index",59.335,58.121,59.997,60.393,59.843,59.593,59.130,58.588,59.116,59.061,56.682,55.398,55.321,56.152,56.753
 "29000","Missouri",4,SARPP,3,"..."," RPPs: Services: Housing ","Index",73.202,72.374,74.480,74.600,73.626,75.049,73.341,73.226,72.325,70.611,70.366,70.933,70.242,70.077,69.328
 "30000","Montana",7,SARPP,3,"..."," RPPs: Services: Housing ","Index",69.432,67.882,69.864,73.075,72.343,71.850,81.225,73.851,73.096,70.525,76.582,79.535,75.409,79.296,74.554
 "31000","Nebraska",4,SARPP,3,"..."," RPPs: Services: Housing ","Index",71.589,71.492,74.573,75.892,75.524,73.541,73.401,75.410,74.315,72.488,73.199,72.722,76.364,75.615,73.348
 "32000","Nevada",8,SARPP,3,"..."," RPPs: Services: Housing ","Index",119.281,111.316,108.023,106.698,104.103,101.800,97.810,98.741,97.795,100.174,102.573,105.652,105.936,107.902,111.773
 "33000","New Hampshire",1,SARPP,3,"..."," RPPs: Services: Housing ","Index",118.502,122.727,123.218,119.450,121.429,123.594,115.327,119.650,112.568,119.649,108.633,110.759,115.805,107.040,121.349
 "34000","New Jersey",2,SARPP,3,"..."," RPPs: Services: Housing ","Index",153.352,149.140,150.352,145.753,149.431,147.495,147.534,145.267,145.622,140.545,141.407,141.183,139.501,134.903,135.685
 "35000","New Mexico",6,SARPP,3,"..."," RPPs: Services: Housing ","Index",81.064,79.523,78.057,83.486,82.226,81.305,80.341,78.836,79.346,77.873,75.145,74.048,75.367,72.950,75.723
 "36000","New York",2,SARPP,3,"..."," RPPs: Services: Housing ","Index",130.885,133.009,135.218,137.135,136.229,135.957,135.794,134.325,133.735,130.961,129.998,129.290,132.258,131.481,124.602
 "37000","North Carolina",5,SARPP,3,"..."," RPPs: Services: Housing ","Index",74.274,75.265,75.389,76.344,75.773,75.956,76.334,75.762,74.662,75.489,75.288,75.431,75.011,75.986,78.776
 "38000","North Dakota",4,SARPP,3,"..."," RPPs: Services: Housing ","Index",63.158,64.359,61.863,69.119,76.782,80.069,78.426,78.073,86.059,71.549,72.083,76.991,72.089,70.782,65.297
